t,Z_state_Obs,Y_state_Obs
0,0.0367327137218226,1.07103372977757
0.075,0.415302689470162,NaN
0.09,NaN,0.644158475963818
0.15,0.381008002220719,NaN
0.2,NaN,0.081357953861805
0.25,0.410692902405134,NaN
0.3,NaN,0.150152078781025
0.35,0.29761402705696,NaN
0.4,NaN,0.0634175033773501
0.45,0.607568096280413,NaN
0.5,NaN,0.831639817847143
0.55,0.171013818990019,NaN
0.65,0.327399041259952,0.0500461127366597
0.8,0.194157808744215,0.15872319433882
1,0.315474123972748,0.172579900041599
1.5,0.890800690629165,NaN
