t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,7057.19565515039,4591.79190172586,0.908281284961236,3.54306548419505
2,1172.10696123623,1186.93214159823,NaN,NaN
3.5,NaN,NaN,1813.13488895222,NaN
4,1701.85086143101,262.980495541054,NaN,32.5306266233801
6,NaN,70.9529526493129,NaN,NaN
6.5,26287.1125940027,NaN,NaN,NaN
7,NaN,NaN,41015.3709983373,NaN
8,NaN,NaN,NaN,4138.15833306613
8.5,NaN,14.3846369124471,NaN,NaN
9,49950.3315455048,NaN,NaN,NaN
10,17268.9505085512,8.60814384468632,4989.80647652212,NaN
15,8151.92327407268,8.00508550238536,609.94657264629,9750.25964520655
20,3764.70206759899,NaN,16.3642623617633,7200.70848110616
25,4586.77608246265,NaN,0.445524748287493,11760.7171011081
30,3109.31544842801,NaN,0.0363331087973744,7944.01412124141
35,1251.00972866957,NaN,NaN,NaN
40,NaN,NaN,0.00237768709295833,10507.4740123578
45,NaN,NaN,0.0031226453165247,10776.3003655727
55,NaN,NaN,0.00397737008387321,NaN
70,NaN,NaN,0.00255698807376462,NaN
