t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,6.97901829819646e-07,0.972345788988993,2.53792043132306e-06
0.08,NaN,0.279838565760015,NaN
0.15,0.000372322123170597,0.135220868081728,NaN
0.25,0.000155711675722168,0.0312829472700837,NaN
0.35,NaN,0.00278737722217588,NaN
0.4,0.000477403314379628,NaN,0.00285164970089185
0.45,NaN,0.000944039053576687,NaN
0.6,0.000214790056216803,0.000348784575676607,NaN
0.75,0.000186560585286211,1.02306483688984e-05,NaN
0.8,NaN,NaN,0.00189204285475145
0.9,NaN,3.27393202086994e-06,NaN
0.95,0.000173343697383017,NaN,NaN
1,0.000193814537157922,NaN,0.00193910392044982
1.5,9.35846655241808e-05,NaN,0.00137275376601245
2,0.000350862543196163,NaN,0.00131713149097037
3,NaN,NaN,0.00182042857938266
3.5,NaN,NaN,0.000876813429259462
