t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,7.52279063672158e-06,1.30664114869263,5.6229107679526e-05
0.09,NaN,0.177870739048978,NaN
0.15,0.00621116195186173,NaN,NaN
0.2,NaN,0.0481133559636396,NaN
0.25,NaN,NaN,0.0157483095144856
0.3,0.00359712808624113,0.0139404377871313,NaN
0.4,NaN,0.00118969735069155,NaN
0.5,0.00158795556271698,NaN,0.0181060763888014
0.55,NaN,0.000104473417774799,NaN
0.65,NaN,2.45147691751759e-05,NaN
0.7,0.00216234410713989,NaN,NaN
0.75,NaN,NaN,0.0170276474343121
0.85,NaN,5.65580449790535e-06,NaN
0.9,0.000928821862713412,NaN,NaN
1,0.00093203449902284,4.79160194027729e-06,0.0225737305408408
1.5,0.00146753532335436,NaN,0.0107574174430703
2,0.00256264746404939,NaN,0.0294844176664997
2.5,0.00330421295927673,NaN,0.021006213761524
3,0.000742619281349331,NaN,NaN
