t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,7.21618271643257e-05,0.593250822932158,0.000898431063985125
0.08,NaN,0.218021805529236,NaN
0.15,NaN,0.533472202306715,NaN
0.2,0.0526589334781757,NaN,0.109072213762088
0.25,NaN,0.152813711015341,NaN
0.35,NaN,0.0312103417845571,NaN
0.4,0.0767184103162226,NaN,NaN
0.45,NaN,0.0108870117292113,0.189152841905448
0.6,0.0354515085670856,0.00590385916999771,NaN
0.75,NaN,0.0029072587589788,0.230868725491357
0.85,0.0452541638778697,NaN,NaN
0.95,NaN,0.000344858563507856,NaN
1,0.0172103467619933,NaN,0.155260454540421
1.5,0.0651106403085722,NaN,0.180575599281622
2,0.0116066761459163,NaN,0.331640903532591
