t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,7.52525265919483e-05,1.94367630905195,5.3481052584446e-05
0.085,NaN,0.401675274101138,NaN
0.15,NaN,0.0531561983959689,NaN
0.2,0.0231815399248068,NaN,0.0969785936659323
0.25,NaN,0.0145540296483599,NaN
0.4,0.0127992739521126,0.00150463145916499,0.118342789364779
0.5,NaN,0.000292782484089392,NaN
0.6,0.00499107574018548,NaN,0.209130849810947
0.65,NaN,2.71989137541036e-05,NaN
0.8,NaN,1.75434396701803e-05,NaN
0.85,0.010254653475082,NaN,0.149869434210294
1,0.0108665197641445,1.64957255901012e-05,0.10949685038806
1.5,0.0173694096405776,NaN,0.107860464229547
2,0.0245973878168881,NaN,0.168923420734169
2.5,0.0103521845800622,NaN,NaN
3,0.00491135311395448,NaN,NaN
