t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.000105572503855505,1.22590669274972,0.00108647986914678
0.085,NaN,0.432245077538683,NaN
0.15,NaN,0.462037178890674,NaN
0.25,0.0343655642941966,0.316302997476681,NaN
0.4,NaN,0.211624096871232,NaN
0.5,NaN,0.101343522541332,NaN
0.55,0.0477103443774912,NaN,NaN
0.65,NaN,0.0127429166100304,NaN
0.8,NaN,0.00948651210626427,0.692746383837184
0.85,0.0521403595664995,NaN,NaN
1,0.0388921813515524,0.00829765253680246,NaN
1.5,0.0517008344687246,NaN,0.118642174523451
2,0.0120318761809494,NaN,NaN
2.5,0.0332089544539974,NaN,0.427301767048199
3,0.0235550045857798,NaN,NaN
3.5,0.0375242902977778,NaN,0.112576690869382
4.5,0.0405618442381958,NaN,0.625253757480011
5.5,NaN,NaN,0.848455494851638
6.5,NaN,NaN,0.155817019432227
8,NaN,NaN,1.06097647346896
10,NaN,NaN,0.766686146384288
15,NaN,NaN,0.27856980332099
