t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.000143827383680669,2.1333047894738,0.000704932086955463
0.1,NaN,0.0860114376343069,NaN
0.15,0.0760622587088465,NaN,0.840071924411298
0.25,NaN,0.00338717065141063,NaN
0.3,0.0497163242461428,NaN,NaN
0.35,NaN,0.000368010763145559,0.691909828384063
0.45,0.0568469055558922,NaN,NaN
0.5,NaN,4.57813011776614e-06,NaN
0.55,NaN,NaN,0.74196214049644
0.65,0.184753007931306,NaN,NaN
0.7,NaN,1.63891146817957e-05,NaN
0.75,NaN,NaN,1.00843893729453
0.85,0.065512726584292,NaN,NaN
0.9,NaN,4.32151950813542e-06,NaN
1,0.0949999784351217,4.30019082410774e-06,0.410420557291818
1.5,0.0677772499781425,NaN,0.766027362059642
2,0.0485090355516494,NaN,NaN
2.5,0.0674721866473382,NaN,NaN
