t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,3.75535209264058e-05,1.38762086307278,0.000696621874762403
0.1,NaN,0.095800362683216,NaN
0.15,0.314073667714357,NaN,NaN
0.2,NaN,0.0235422217278759,NaN
0.25,NaN,NaN,0.695666067562268
0.3,0.0628356205073849,0.00244195995407293,NaN
0.45,0.0580318590077751,0.000179470544697447,NaN
0.5,NaN,NaN,0.246655101106787
0.6,0.045373375340275,3.22794328020855e-05,NaN
0.75,NaN,NaN,1.62970077205172
0.8,0.158471590259257,1.77815901230536e-05,NaN
1,0.0393975520319614,1.08017970254303e-05,0.240356329334819
1.5,0.0431125453457229,NaN,0.861929183352403
2,0.0749152744874093,NaN,0.496710557245039
2.5,0.0771368248234222,NaN,0.745481449516879
