t,pS2_Obs,ppS2_Obs,ppS3_Obs,S3_Obs
0,0,0,0.000906135857969645,14.2510141397238
15,12.729905381542,21.2783120391116,NaN,6.7139702841859
25,NaN,NaN,0.314170791497115,NaN
30,16.3254530451782,NaN,NaN,4.84467104657119
35,NaN,21.078167934944,NaN,NaN
45,NaN,NaN,NaN,4.68447962741058
50,12.3189868520401,NaN,0.333426789928368,NaN
55,NaN,15.9514554492658,NaN,NaN
65,10.4184010335219,NaN,NaN,7.53593852621735
75,NaN,10.538089773471,NaN,NaN
80,NaN,NaN,0.479216903211455,NaN
85,NaN,NaN,NaN,9.7322090435099
90,9.95460776460255,NaN,NaN,NaN
100,5.7270956066204,4.03191025858438,0.442626943795609,12.7446363008189
150,1.85629515346257,0.866720368060338,0.418626321079025,9.95421971611169
200,NaN,NaN,0.221310512082727,NaN
250,NaN,NaN,0.0543935862209377,NaN
350,NaN,NaN,0.0036259299438105,NaN
400,NaN,NaN,0.00136280322866536,NaN
450,NaN,NaN,0.00139029848435687,NaN
