t,pS2_Obs,ppS3_Obs,ppS2_ppS2_ppS3_Obs,ppS3_ppS3_S4_Obs
0,0,1.01747710778334e-17,0,8.8969596276048e-18
9.5,NaN,NaN,0,NaN
10,0,7.71200475648592e-18,NaN,1.21376570934945e-17
20,0,NaN,0,NaN
25,NaN,1.39747291576737e-17,NaN,9.12395982306523e-18
30,NaN,NaN,0,NaN
35,0,8.72325673416922e-18,NaN,1.01979358201283e-17
40,NaN,NaN,0,NaN
50,0,8.44427261257773e-18,NaN,1.02779105179457e-17
55,NaN,NaN,0,NaN
65,0,NaN,NaN,NaN
70,NaN,1.13676516747912e-17,0,1.16514584041019e-17
85,0,NaN,NaN,9.95598985089829e-18
90,NaN,1.23808541194011e-17,NaN,NaN
