t,pS2_Obs,ppS2_Obs,ppS3_Obs,S3_Obs
0,0,0,0.00115677910326745,19.6654892514286
15,12.1860227191316,44.4362720405647,NaN,NaN
20,NaN,NaN,0.21922967810511,2.50572271178137
35,19.5270562731062,43.5026835353534,NaN,NaN
40,NaN,NaN,0.240366052182491,3.88768222111404
50,14.3170411415017,NaN,NaN,NaN
55,NaN,46.5640906763269,NaN,NaN
60,NaN,NaN,0.210069111307489,8.15303892470205
70,10.8118585944417,NaN,NaN,NaN
75,NaN,50.1558089248325,NaN,NaN
85,NaN,NaN,0.161389294662827,10.4221519217639
95,10.6434139385117,NaN,NaN,NaN
100,9.16684217665466,22.8203531229337,0.187601584499132,9.02594131113212
150,1.95064998228857,4.9037149050776,0.244409707192032,12.80441075404
200,NaN,NaN,0.154910923720703,12.2604221809759
250,NaN,NaN,0.0617067352783774,NaN
300,NaN,NaN,0.0155130526443741,NaN
350,NaN,NaN,0.00469133637623808,NaN
400,NaN,NaN,0.00201381927498353,NaN
