t,pS2_Obs,ppS2_Obs,ppS3_Obs,S3_Obs
0,0,0,0.0116602537199798,216.014976062282
15,NaN,7.59305375884856,NaN,99.0654905688913
20,10.2641185099645,NaN,2.29427229010666,NaN
30,NaN,NaN,NaN,119.291306350861
35,NaN,10.4132870550643,2.29992335446889,NaN
40,17.3630109555883,NaN,NaN,NaN
45,NaN,NaN,NaN,65.0053757751045
55,NaN,9.68440548933476,2.47541132459063,NaN
65,15.9355861475006,NaN,NaN,119.022161632648
75,NaN,4.72159698696782,2.06247347012817,NaN
85,NaN,NaN,NaN,110.726954760293
90,7.99034338296451,NaN,NaN,NaN
95,NaN,NaN,2.50372127385283,NaN
100,7.10693182492206,4.8995471286026,2.24816836572495,193.39005627849
150,2.77008586399003,1.51307648401965,2.78699583325764,216.785740730018
200,0.722815936282226,NaN,1.52806636826858,NaN
250,NaN,NaN,0.733834236281839,NaN
300,NaN,NaN,0.26581736557855,NaN
400,NaN,NaN,0.0181887016001747,NaN
