t,pS2_Obs,ppS3_Obs,ppS2_ppS2_ppS3_Obs,ppS3_ppS3_S4_Obs
0,0,1.34521739451563e-17,0,1.01016246020888e-17
10,NaN,1.02556204684984e-17,0,1.31486692036495e-17
15,0,NaN,NaN,NaN
25,0,9.85891253448687e-18,0,1.1334097581207e-17
35,NaN,NaN,NaN,1.08705231344528e-17
40,0,1.15456623481782e-17,0,NaN
50,NaN,NaN,NaN,9.33577734609857e-18
55,NaN,1.35371591139823e-17,0,NaN
60,0,NaN,NaN,NaN
65,NaN,NaN,NaN,1.03842072374794e-17
70,NaN,7.04908162864727e-18,NaN,NaN
75,0,NaN,0,NaN
80,NaN,NaN,NaN,1.17804064774463e-17
95,NaN,9.78296663948414e-18,0,NaN
100,0,NaN,NaN,1.14985736701734e-17
