t,pS2_Obs,ppS3_Obs,ppS2_ppS2_ppS3_Obs,ppS3_ppS3_S4_Obs
0,0,1.55849728408112e-17,0,8.01531987064131e-18
10,NaN,1.01732226088099e-17,0,8.76233789992495e-18
15,0,NaN,NaN,NaN
20,NaN,1.99394165712317e-17,NaN,NaN
25,NaN,NaN,0,1.01433129845079e-17
30,0,NaN,NaN,NaN
35,NaN,1.3540249277464e-17,0,NaN
40,NaN,NaN,NaN,1.33505519277311e-17
45,0,1.05456105746634e-17,NaN,NaN
50,NaN,NaN,0,NaN
55,NaN,NaN,NaN,1.20834213022373e-17
60,0,NaN,NaN,NaN
65,NaN,1.12258264294536e-17,NaN,NaN
70,NaN,NaN,0,NaN
75,NaN,NaN,NaN,9.46849963359412e-18
80,0,9.04737159906575e-18,NaN,NaN
90,NaN,NaN,0,NaN
95,NaN,NaN,NaN,1.12558417559214e-17
100,0,NaN,NaN,NaN
