t,pS2_Obs,ppS3_Obs,ppS2_ppS2_ppS3_Obs,ppS3_ppS3_S4_Obs
0,0,1.23543841725044e-17,0,1.22253222168627e-17
10,0,NaN,0,9.31668321068989e-18
15,NaN,1.43299496186621e-17,NaN,NaN
20,NaN,NaN,NaN,1.6428450703099e-17
25,0,1.05235178617687e-17,0,NaN
30,NaN,NaN,NaN,8.20058560039188e-18
40,0,NaN,0,NaN
45,NaN,9.97422042271129e-18,NaN,1.16615275971096e-17
55,0,NaN,0,1.07664921914475e-17
60,NaN,9.85248751009728e-18,NaN,NaN
70,0,NaN,0,1.27230023063729e-17
85,NaN,1.39447929254502e-17,NaN,NaN
90,0,NaN,NaN,7.28126611525031e-18
95,NaN,NaN,0,NaN
