t,pS2_Obs,ppS2_Obs,ppS3_Obs,S3_Obs
0,0,0,0.000121538783944192,14.8267717502153
15,NaN,147.005102085658,NaN,NaN
20,43.8725554928413,NaN,NaN,5.09718820529147
25,NaN,NaN,0.15873752821976,NaN
35,NaN,143.916195933422,NaN,NaN
40,31.0073318302368,NaN,NaN,5.44124631639222
50,NaN,80.9077020851321,0.16591826539735,NaN
60,16.9199096601645,NaN,NaN,NaN
65,NaN,NaN,NaN,8.22282626409822
70,NaN,110.59200346964,NaN,NaN
75,NaN,NaN,0.0875122279019234,NaN
85,16.40491992555,NaN,NaN,NaN
90,NaN,66.1631507619896,NaN,6.16291816826345
100,18.6897701964851,51.3965262447629,0.11662734838934,10.7539471476392
150,4.4336061045791,13.6333410717285,0.158051992914528,17.5018940674964
200,1.46622374062628,1.97560053880452,0.127498399433326,NaN
250,NaN,0.245888491715711,0.051794011630973,NaN
300,NaN,0.112151692634254,0.020565524409159,NaN
350,NaN,0.0148644575200376,0.00235032940683183,NaN
450,NaN,NaN,0.000213552804601789,NaN
550,NaN,NaN,0.000105553179472195,NaN
