t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,8649.20383942155,9881.11303315146,0,0
8,3818.14434118932,NaN,404.214595217199,NaN
8.5,NaN,NaN,NaN,182.815231463132
9,NaN,4844.00464804344,NaN,NaN
15,3082.01955100466,NaN,541.161727420804,181.643239423685
20,NaN,4418.68695538242,NaN,NaN
25,4681.80440248266,NaN,549.092359274158,210.824663197735
30,NaN,3898.37626544569,NaN,NaN
35,2785.44974624497,NaN,699.284139769461,368.43670873607
40,NaN,4139.22685643669,603.826874320193,NaN
45,3446.1421936211,NaN,NaN,363.893575425923
50,NaN,6457.19744734663,NaN,NaN
55,3624.48575652554,NaN,462.912936551179,NaN
60,NaN,4934.17394214773,NaN,550.335174087835
65,NaN,NaN,386.645612783677,NaN
70,3904.358757736,3798.31582953523,NaN,667.632670922203
75,NaN,NaN,574.867981874549,NaN
85,3997.16488229315,6702.45204659743,NaN,634.416166706267
90,NaN,NaN,452.866978892347,NaN
100,4909.74454457468,5177.79445278323,595.48806318051,710.180775276907
150,5045.29058606873,6267.02559302065,585.532575553675,1134.39509189662
200,4951.19916156546,6785.20661513029,677.819892005389,1443.55479819945
