t,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00414086146392297,0.538377897440954,0.0196198061150464,0.00245259187778544,0.106246760254134,0.0174096855046469,0.00182273792735268,0.00286807914945618,0.000866025487082838
3.5,NaN,0.533883846449687,NaN,NaN,NaN,0.0175890522099379,NaN,NaN,NaN
4,0.00459653749832824,NaN,NaN,NaN,0.117020212966762,NaN,NaN,0.00317968637423583,NaN
4.5,NaN,NaN,0.0199578319343303,0.00268971758687981,NaN,NaN,0.00209589326758445,NaN,0.000935612179429366
7,NaN,0.545684673640886,NaN,NaN,NaN,0.0218096970547052,NaN,NaN,NaN
8,0.0042443321369448,NaN,NaN,NaN,0.125193872255953,NaN,NaN,0.0035924233814558,NaN
9,NaN,NaN,NaN,0.00289523096609266,NaN,NaN,NaN,NaN,0.00101251849739658
9.5,NaN,NaN,0.0207988156845849,NaN,NaN,NaN,0.002239008629845,NaN,NaN
10,NaN,0.551019341510274,NaN,NaN,NaN,0.0199380882677304,NaN,0.00349100831084503,NaN
15,0.00479318931375582,0.572188476703583,0.0236354309787731,0.00312934349121083,0.138693435307108,0.0223751908374716,0.00222218851317501,0.00377251561068693,0.00103841877680375
20,0.00508402033618507,0.575141198061684,0.0232924240648634,0.00311227186070217,0.134742844338013,0.0241819596949414,0.00237045414180901,NaN,0.00108311382531677
25,0.00496249433953326,0.64921239200383,NaN,0.00317705396731394,0.141380110750423,0.0246020380221623,NaN,0.00433421614642639,NaN
30,0.00507382485714261,0.683639864587694,0.0247739989613871,NaN,0.140934583855605,NaN,0.00253684228057272,0.00456353750464424,0.00112402040483826
35,NaN,NaN,0.0257696520267196,0.00326238456796186,NaN,0.0250782131971991,0.00245091721037241,NaN,0.00121598130569438
40,0.0056728158777286,0.645178090861141,NaN,NaN,0.148405537815772,0.0264845496786842,NaN,0.00461415592812068,NaN
50,0.00550453794323048,0.636118483461609,0.0270338971897192,0.00330627924023078,0.162539718660618,0.0280958344212218,0.00277801050642835,0.00491430594916367,0.00131094518769009
60,0.00578152408849337,0.688352466529351,0.0260551928991775,0.00366074606964671,0.158471831746855,0.0286076725527374,0.00271974315663553,0.0048511051064308,0.0012792100597467
