t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00919001490792305,1.00366866671004,-0.0196479971572389,0.00411368229341629
0.1,NaN,0.000185060564955528,NaN,NaN
0.2,0.0961895208214548,0.00239076500164581,0.557890779477011,NaN
0.35,NaN,0.00905051099805407,NaN,0.124896849557951
0.4,0.0699058237918984,NaN,0.417144571243728,NaN
0.45,NaN,-0.000443972865210952,NaN,NaN
0.6,0.0602480024837818,0.0174446957313913,0.337721328549667,NaN
0.75,NaN,NaN,NaN,0.148486350111325
0.8,0.0571966774714291,-0.00487273657113633,NaN,NaN
0.85,NaN,NaN,0.284719820421547,NaN
1,0.0529641559481679,-0.00023303630511569,0.254397651255522,0.158423977306126
1.5,0.0545535401195481,NaN,0.265153501298672,0.144451183554764
2,0.0509986970792415,NaN,0.317173640096536,0.162968899234029
2.5,0.0429065415182736,NaN,0.306231319040594,0.148041310254846
3,0.0479240054933236,NaN,0.249486706925764,NaN
3.5,NaN,NaN,0.285938755081906,0.167801333937471
