t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,3.9136028494118e-06,0.984221446209399,0.0455315449165975,0.063359333031965
0.09,NaN,0.0740267929313039,NaN,NaN
0.15,NaN,NaN,0.751179055384458,0.204366754746462
0.2,0.000557689785493949,0.00556549002607581,NaN,NaN
0.3,NaN,-0.00527584454124211,0.481769675718298,0.629296311074361
0.4,0.000356928716953052,0.00131063407951112,NaN,0.643071824929836
0.45,NaN,NaN,0.376757455811759,NaN
0.5,NaN,-0.0108657170988226,NaN,NaN
0.55,NaN,NaN,NaN,0.540493553376388
0.6,NaN,NaN,0.39941334508908,NaN
0.65,0.000281078895350092,-0.00206283036434092,NaN,NaN
0.75,NaN,NaN,NaN,0.699779709477354
0.8,NaN,-0.00406579434316913,0.321330780822916,NaN
0.9,0.000229407358335025,NaN,NaN,0.73699877981351
1,0.000237681935990127,-0.00195348116699888,0.270460666751887,0.759815758718803
1.5,0.000265057897440029,NaN,0.261355454070462,0.658341392919031
2,0.000254051189181257,NaN,0.249194097311243,0.748080296759007
2.5,0.000248886544286306,NaN,0.301145048106865,0.689656931292475
3,0.000201732582270502,NaN,NaN,0.650185545090384
3.5,0.000254648621305259,NaN,NaN,NaN
