t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00182938205361725,1.0101569850043,0.0188316918157738,-0.104117106152062
0.08,NaN,0.0453571613655349,NaN,NaN
0.15,0.0200694056968771,0.00144152915781722,NaN,NaN
0.2,NaN,NaN,0.709298821670002,NaN
0.25,NaN,-0.00877784155149035,NaN,NaN
0.35,0.0137527434725204,0.0106212362318414,NaN,NaN
0.4,NaN,NaN,0.470783663558951,0.386892240521913
0.5,0.0116273340461462,-0.016911842768015,NaN,NaN
0.6,NaN,NaN,0.465810303532708,NaN
0.65,NaN,0.000243312697831818,NaN,NaN
0.7,0.0115895641328058,NaN,NaN,NaN
0.8,NaN,-0.000213516350582603,0.400240860252341,0.465346999197554
0.9,0.00944093651270724,NaN,NaN,NaN
1,0.0108779910407675,NaN,0.435088115600721,0.483473167188155
1.5,0.00940130711028439,NaN,0.382258091244814,0.58376167007987
2,0.0105478665282444,NaN,0.324912949350563,NaN
2.5,0.00937915537667769,NaN,0.398099422436068,0.511967775460741
3,0.00688040286604883,NaN,0.395723351002818,0.531060756189204
