t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000656366844967526,0.997872745425271,-0.000210079167644285,0.056373764242168
0.075,NaN,0.113859370605569,NaN,NaN
0.1,NaN,NaN,0.750190952733589,NaN
0.15,0.0044434994733521,0.0232538771196917,NaN,0.150993825068582
0.25,NaN,0.0258972007051688,0.595988759373527,NaN
0.3,0.00334003498153302,NaN,NaN,NaN
0.35,NaN,-0.00218112086042904,0.539378730085012,0.582299628409462
0.45,0.0032905294987663,0.00626654478078666,NaN,NaN
0.5,NaN,NaN,0.409927870587782,0.483010296314817
0.55,NaN,0.000746869260734801,NaN,NaN
0.6,0.00212770794680701,NaN,NaN,NaN
0.65,NaN,NaN,0.373926503176121,NaN
0.7,NaN,-0.0151243820115473,NaN,0.640112445544763
0.75,0.00218548968821781,NaN,NaN,NaN
0.85,NaN,NaN,0.320350531211982,NaN
0.9,NaN,0.00656312830509495,NaN,NaN
0.95,0.00194194723048752,NaN,NaN,0.74884576111601
1,0.0018221141531586,NaN,0.2733705336529,0.556543919831852
1.5,0.00198683547413549,NaN,0.337624432678522,0.691165152677741
2,0.00180524884402782,NaN,0.364256240379212,0.60415205005391
2.5,NaN,NaN,0.310785044023765,NaN
