t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00326273135368597,1.01843481638879,-0.018185957353292,0.0376062492663658
0.1,NaN,0.0155548863900684,NaN,NaN
0.15,0.0529157087889575,NaN,NaN,NaN
0.2,NaN,-0.00268052459868463,0.727137589632293,NaN
0.35,0.0420814995139421,-0.00243594832000188,NaN,0.192857702961747
0.4,NaN,NaN,0.519124764004659,NaN
0.45,NaN,0.00486312355223201,NaN,NaN
0.55,0.0333946837291486,NaN,NaN,NaN
0.6,NaN,-0.001799358196059,0.517751168536471,NaN
0.75,0.0367202829226803,NaN,NaN,0.297210871585526
0.8,NaN,-0.0101151672974309,0.394690370884984,NaN
0.95,0.0242422369484667,NaN,NaN,NaN
1,0.023026928649982,0.00439134076203259,0.39303215052604,0.340257752815634
1.5,0.0190818248850794,NaN,0.330512237070184,0.302760502704199
2,0.0198628045278724,NaN,0.330027839318551,0.298815557913254
2.5,0.025026514764431,NaN,0.304875185623264,0.334586479283873
3,0.0274993688117317,NaN,0.378123833409252,NaN
3.5,NaN,NaN,0.323072909158693,0.376483538202396
