t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00236740919397697,1.00006849570936,0.0245840317029043,-0.00868835902347187
0.095,NaN,0.341116726281968,NaN,NaN
0.2,NaN,0.0793092106163124,NaN,NaN
0.25,NaN,NaN,0.664724013720329,NaN
0.3,0.0177136143317807,0.0563981263489312,NaN,NaN
0.4,NaN,NaN,NaN,0.345457238605189
0.45,NaN,0.015363078682609,0.654395303601072,NaN
0.55,NaN,-0.0425765131193155,NaN,NaN
0.6,0.0131564127660628,NaN,NaN,NaN
0.7,NaN,-0.0147371914565282,0.433733743877626,NaN
0.8,NaN,NaN,NaN,0.463681563070763
0.9,NaN,-0.0110169312080133,NaN,NaN
0.95,0.0113856236032276,NaN,0.424725863325378,NaN
1,NaN,0.0192455632963547,NaN,NaN
1.5,0.0102173704055627,NaN,0.3612474595222,0.490291236694331
2,0.0100315578378061,NaN,0.251746872201717,0.496262433540811
2.5,0.00895659673021275,NaN,0.410621717631615,0.571642555594069
3,0.00976813618811899,NaN,0.28455331456217,NaN
3.5,NaN,NaN,0.358581316336237,0.542935138027527
4,0.0109749713806135,NaN,NaN,NaN
4.5,0.0099872358289496,NaN,0.292099407466259,NaN
5.5,0.0100056244372814,NaN,NaN,NaN
