t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.594190382686e-06,0.972516248660774,0.02588051842209,0.0485445674719434
0.09,NaN,0.1079304138009,NaN,NaN
0.1,NaN,NaN,0.761740639377546,NaN
0.15,5.85606780980378e-05,NaN,NaN,NaN
0.2,NaN,-0.0104105294157357,NaN,0.412196416448111
0.25,NaN,NaN,0.492709762775027,NaN
0.3,4.24534233137105e-05,0.00652818538073631,NaN,NaN
0.35,NaN,NaN,0.440627108757838,0.604129917593448
0.4,NaN,-0.00519209779184002,NaN,NaN
0.45,3.51942502189607e-05,NaN,NaN,NaN
0.5,NaN,-0.00450493163398679,0.302469558557524,NaN
0.55,NaN,NaN,NaN,0.682868964042083
0.6,2.68291714200308e-05,NaN,NaN,NaN
0.65,NaN,-0.0212100790565797,0.329778358111285,NaN
0.75,NaN,NaN,NaN,0.699947245825365
0.8,2.10606817016166e-05,0.00187223149274942,0.237112224432891,NaN
1,2.16456479699469e-05,-0.00414656005500756,0.2630995182772,0.787542141809076
1.5,1.86776863245545e-05,NaN,0.288073724866801,0.577078198984264
2,1.49259601634804e-05,NaN,0.258467240468576,0.708897977884813
2.5,2.00751363615611e-05,NaN,0.223401198969089,0.790678627451997
3,2.0715793967584e-05,NaN,NaN,0.809540549539844
