t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.0015445971204653,56.125405224337,31.9952645607677
20,0.0141188719918527,38.7789411446492,44.6423746913308
40,0.0669931093338794,NaN,130.099355158705
45,NaN,82.5359965466702,NaN
60,0.033296532526513,NaN,NaN
65,NaN,NaN,45.6129770878582
70,NaN,34.9784753227903,NaN
85,0.00176049164381044,NaN,NaN
90,NaN,NaN,43.0070851535238
95,NaN,61.2526729891705,NaN
100,0.000660121344297603,NaN,55.7957295580949
150,0.0100631126170619,87.3413764366991,42.5296333201093
200,NaN,78.8990436213026,52.936771122153
250,NaN,32.5366126981109,39.6639421494052
300,NaN,81.7935901620515,47.5217447091733
350,NaN,96.2271674817025,62.5610344003462
450,NaN,56.0223761709795,41.016323513643
