t,JAK1_gp130_Obs,SOCS3_Obs,Compound_4_Obs
0,0.307401908325527,8.12504544544112,22.9961188057688
7.5,NaN,12.9556694471027,492.909586741373
10,0.0696350265008547,NaN,NaN
15,NaN,795.122916171319,983.084600410787
25,9.02985147606122e-06,8968.57509010895,622.895352700784
35,9.68842918940725e-06,5422.03020692955,67.8116370489443
45,NaN,1886.89272083767,40.6305787227587
50,5.29582253090041e-05,NaN,NaN
55,NaN,389.501273329321,18.5851375262983
65,0.000836203561691285,NaN,NaN
70,NaN,26.4406782464499,18.2151965712379
85,0.0131084830681015,NaN,NaN
90,NaN,5.41074260388879,33.8348340634646
100,0.0207684228897536,4.88309129699515,40.3670583392608
150,0.0054570442460831,NaN,NaN
