t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00379976244138739,73.0003700517503,51.627651104977
8.5,NaN,46.2054271709596,34.9614678989687
10,0.0163576430447078,NaN,NaN
15,NaN,53.1618267884961,71.306035514492
25,7.91110521305257,176.598080674378,233.304907148398
35,8.84541362857906,220.976591337884,242.854207913988
50,1.2836739351808,181.59074460974,93.7706263365133
60,NaN,31.6580281419684,40.4084686825145
70,0.023312999265019,NaN,NaN
80,NaN,45.6841687064715,60.4391325287956
85,0.00144753978182537,NaN,NaN
95,NaN,62.4085811098698,NaN
100,0.00309424161182976,30.1024138930369,61.8130877065492
150,0.044730350010052,NaN,NaN
