t,input_il6,JAK1_gp130_Obs,SOCS3_Obs,Compound_4_Obs
370,0.1,0.129071873259874,0.0996188651203107,17.1527824079176
370,0.1,0.382789625902605,0.100505521864829,20.7999042340927
370,0.5,0.104228484949113,0.152053682644231,15.5343476755001
370,0.5,0.167386929864293,0.391754140945078,37.2089498801203
370,1,0.122241379587975,0.477581315027124,26.074808769354
370,1,0.134302149374339,0.27451828590508,22.8986606589782
370,2.5,0.0768031701454609,1.43336810106707,20.1713177520537
370,2.5,0.11566829386141,1.69374512459411,42.0418709545315
370,5,0.0242037044054358,5.50498405216825,37.6217008513479
370,5,0.0265939961857979,3.71631238662659,48.4040474802747
370,10,0.0081840989696444,6.84142010735115,24.0115240544575
370,10,0.010836785738873,3.81229976696719,21.4440051965502
370,25,0.00614068658726161,4.2254791895562,30.9678924436287
370,25,0.0161298647400988,9.15254127051189,29.8824677307499
370,50,0.00339657772095054,9.44426687685656,25.0441100480817
370,50,0.00710702967504871,16.4575083811704,27.789619689274
370,100,0.00276064855880907,21.2151717947325,21.1615251531393
370,100,0.00383016917743106,8.02660453576628,28.1878750717951
370,500,0.00195403487559874,11.8204312797533,32.3975783478376
370,500,0.00204914380183689,15.1118028367981,17.9702365960693
