t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00102965647057669,36.8628215020482,49.5327888394554
5,0.016867037019928,NaN,NaN
5.5,NaN,70.2300098719967,NaN
6.5,NaN,NaN,148.327798561361
10,12.8427667863638,559.820767561388,NaN
15,143.667310100395,2552.65511964015,805.406426147724
20,355.402956214538,NaN,3049.95349536302
25,298.159751197494,3392.06812006423,NaN
30,NaN,7215.275488841,9222.0594606907
35,177.99212643357,5612.35717521428,4262.4378307032
40,46.294409697108,NaN,NaN
45,NaN,1634.79307335399,2044.06586904277
50,11.8256624799503,NaN,NaN
55,4.30307167365968,387.671750237469,749.515954606745
70,0.235401710432863,65.2514196349948,81.2459242912452
80,0.0333947041913341,47.4741477850885,54.8150387470762
95,0.000839883604555756,NaN,NaN
100,0.000307113742685894,45.8758687103628,47.6756313238421
150,NaN,51.3000587477206,42.2549339573035
