t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00167119093385263,70.7716016612549,35.9411195115125
6.5,NaN,NaN,111.096121989242
7,NaN,284.44485595193,NaN
7.5,0.831733247016054,NaN,NaN
15,134.028777111066,1357.36372297444,1848.74467108617
20,NaN,1518.67734582481,3633.17054810512
25,227.914924431569,NaN,NaN
30,NaN,6877.26250584302,7966.87171140239
35,116.117026856546,NaN,5562.25635640592
40,53.7578501534814,3224.39504890954,NaN
45,NaN,1435.78503666494,1887.997044261
55,5.5894878696512,NaN,448.501158878471
60,NaN,143.222510540909,NaN
65,0.735328616399226,NaN,95.8850342100453
70,NaN,98.4884674612409,NaN
75,NaN,NaN,90.1965805377005
80,0.0288426105899564,NaN,NaN
85,NaN,67.9872276913682,74.574310784889
95,0.0019922321450018,NaN,NaN
100,0.0217846376781735,50.3732495064428,46.5239599859537
150,0.00129926689857401,70.4036568205658,62.154903963227
200,NaN,48.2178315551613,74.8506329163584
