t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00135791973010057,74.8689546392744,58.3522653101689
3,NaN,NaN,58.8588351100725
3.5,NaN,57.3928412383117,NaN
5,0.0136285429886557,NaN,NaN
5.5,NaN,NaN,49.3112132090151
7,NaN,117.062904074588,NaN
8.5,NaN,NaN,289.336346927184
10,8.80120452847328,330.103812121345,413.357125658349
15,88.4115202691421,1387.69273362273,1215.94429796126
20,191.052654080775,4192.72941684481,1942.08089168356
25,NaN,7676.80216146302,4251.76590227724
30,179.53648041605,6138.70590801862,3352.49449041719
35,110.679195896662,7149.4327171842,4003.4048686113
40,NaN,NaN,2976.02857713158
45,23.6309233149581,2308.03013861211,NaN
50,13.838957126214,979.744355385032,1365.44643679624
60,1.97548013001223,185.729435821907,178.438158462923
75,0.0610797540197689,73.0695703285249,NaN
90,0.00275784045344325,NaN,NaN
100,0.00038291044691043,NaN,NaN
150,7.86279877622587e-06,NaN,NaN
