t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.001841397939385,36.1764476028498,48.9268082967531
5,0.0237902354827631,61.3980398397887,NaN
6,NaN,NaN,75.3222534707243
10,15.6247073573536,390.06030425817,400.678402378387
15,162.411478908549,1419.20154334779,NaN
20,166.795084570359,2731.42937521103,3222.3376138756
25,320.178795073053,NaN,4981.70868713527
30,NaN,9298.92542246798,NaN
35,151.294522249271,2850.63033815628,4164.25121053919
40,48.620898954941,NaN,2578.56771352538
45,NaN,1361.29254351567,NaN
50,14.7022229700586,1629.8926810855,829.655169593412
60,1.59672997851442,533.688108064221,NaN
65,NaN,NaN,209.850011397948
70,0.326082034894978,NaN,NaN
75,NaN,141.671083148718,NaN
80,NaN,NaN,75.7224487713438
85,0.00760332240754913,53.9807376306144,NaN
95,NaN,NaN,37.7118141505516
100,0.000482157545485643,63.8699042129752,68.5655414898763
150,NaN,52.5534267685427,68.0366121316295
