t,JAK1_gp130_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.579545058148188,0.00231454497600295,0.00105987895042326,0.00281002691650263,1.24928507544055,51.323211593865,85.6535797775129,13.5973805224701,29.0393162799018,39.8601253271531,60.2883585506473,52.8408455058445,20.8843075848167
6.5,NaN,NaN,NaN,NaN,NaN,NaN,126.891784069038,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,29.5815749773044,NaN,NaN,64.3507536303533,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.474582144903,NaN
8.5,NaN,NaN,NaN,0.722588322458701,NaN,NaN,NaN,NaN,NaN,NaN,183.255951363592,NaN,NaN
9,NaN,203.699129415706,NaN,NaN,NaN,NaN,NaN,401.313943822947,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,2.39115629152149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.391401377537964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.714406531634,538.452200970652,NaN,NaN,NaN
15,NaN,NaN,118.941267036125,69.7978608995612,NaN,247.216093779759,601.393841052266,NaN,NaN,NaN,NaN,354.846272411524,276.518124384005
20,NaN,38.3304276076105,NaN,NaN,945.018145402537,NaN,174.37942493475,192.473198959798,159.127267819778,NaN,1734.84741801923,NaN,NaN
25,4.86662678735789e-05,NaN,60.9504781514132,128.543314605598,NaN,130.766002069416,NaN,NaN,NaN,235.176537597458,NaN,1618.42918503477,4207.83881200701
30,NaN,3.206839838541,NaN,NaN,3581.50305429782,NaN,190.183765178589,164.818760326953,NaN,NaN,3458.05650086315,NaN,NaN
35,NaN,NaN,4.79670109414764,48.6346492710577,NaN,74.1168120514437,101.698744585424,NaN,52.6289885834681,101.646398453161,NaN,4641.84992702759,NaN
40,3.26072475742336e-05,0.292256048450581,NaN,NaN,1368.81420559109,NaN,NaN,65.2384280253277,NaN,NaN,3417.66846691077,NaN,2881.05007511433
45,NaN,NaN,0.745087127129691,NaN,NaN,59.5014642070159,51.8820864351241,NaN,33.6249838402079,NaN,NaN,1141.41113353865,NaN
50,NaN,0.0116883908674308,NaN,10.9035256058888,NaN,NaN,NaN,62.8689816423337,NaN,58.1516831688399,575.908469035127,NaN,NaN
55,0.000270440045785774,NaN,0.0331781714938206,NaN,387.77937939415,43.2951922108647,69.7095252860924,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.994081584796508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209.003881730602,164.131434234129
65,NaN,0.00025730616968216,0.00175809862689984,NaN,NaN,NaN,NaN,20.9620147438896,37.8082421668668,68.6790549785038,109.60440472629,NaN,NaN
70,0.00449991416259825,NaN,NaN,NaN,22.1006776689564,44.9132608206854,76.5084729743569,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.8029279655037,NaN
80,NaN,5.89997720630649e-06,6.53634807207393e-05,0.0211354518777509,NaN,NaN,NaN,NaN,40.0461034641959,NaN,NaN,NaN,15.800846647689
85,NaN,NaN,NaN,NaN,1.83055101879801,32.6053084203811,58.5125278211141,26.939951604981,NaN,72.6153844016197,81.3697493656469,NaN,NaN
90,0.0200765887658171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.183683774530658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.6969195200308,NaN
100,0.0140841354934625,0.830767132815994,1.04645678712683,0.039270296037261,1.28871415678316,38.6341613151148,65.3663915026606,58.4555417308392,38.6425582059675,50.8309626402536,50.4513871027402,39.2871469641898,59.7560505994222
150,0.00599275659073899,0.00016687498925207,NaN,NaN,12.7229819275311,NaN,NaN,33.22210182898,25.8811136767411,56.9588472402273,38.10349161818,NaN,27.393804228214
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.0700666333179
