t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00128287849903425,33.7082931561978,105.681561918882
6.5,NaN,NaN,79.4788707450383
7,0.183668547507432,NaN,NaN
8,NaN,188.13711514946,NaN
15,77.7734805629538,952.454386240515,1000.49992926116
20,197.130413930866,NaN,1988.77840225536
25,NaN,5519.60466192601,NaN
30,107.217465587888,NaN,3902.80222151553
35,NaN,3439.77560930522,NaN
40,33.3188931347127,NaN,2916.67517048671
45,NaN,1568.21155805835,NaN
50,9.06282053057644,NaN,772.671178456615
55,NaN,344.66133945298,NaN
60,1.53446281767238,NaN,183.576683707058
70,NaN,107.768996083997,NaN
75,0.0840535299883931,NaN,70.726864435352
85,NaN,74.7235054144006,NaN
90,0.00277845170886179,NaN,NaN
95,NaN,NaN,69.0121870329118
100,0.0203432333911103,35.9403180585493,97.2636184106614
150,NaN,50.0219183340252,NaN
