t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00155831173487086,55.5610889364473,39.9444402924626
7,8.170635396892,NaN,NaN
9.5,NaN,3667.75361343124,NaN
10,NaN,NaN,1950.95260911679
15,503.271869056047,NaN,NaN
20,558.730760156605,6454.5473539614,NaN
25,NaN,NaN,16534.4402078283
30,291.534925898846,14586.4191126415,NaN
35,NaN,NaN,18167.9272394236
40,101.521442407246,7088.051942868,NaN
50,21.4831018981405,NaN,1864.45580834225
55,NaN,1824.13394977542,NaN
60,3.43084941838208,NaN,NaN
70,NaN,114.031869341145,152.344406417564
75,0.152135212201328,NaN,NaN
90,0.00713468306646297,34.3877982185689,132.769599022589
100,0.214901131005547,94.7557003849628,64.3839848531073
150,0.110491315973976,NaN,75.2121019031875
