t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00350297158956544,48.9519429822058,64.3293007674084
7.5,NaN,50.9138354612994,NaN
8.5,NaN,NaN,61.2059541596122
10,0.0743996001760304,NaN,NaN
15,NaN,94.180408517256,72.4964291921435
20,14.5710376837392,NaN,NaN
25,NaN,464.417927609832,435.76939659956
35,9.57338693810516,834.161338301624,428.701843414398
45,4.15495359117876,403.050778321676,NaN
50,NaN,NaN,118.656488451115
55,NaN,111.169079176088,NaN
60,0.388619770753285,NaN,60.9843055290197
70,NaN,50.3413478841373,NaN
80,0.00403750392862523,NaN,113.213682860576
90,NaN,31.265588416845,NaN
100,0.0117330946977702,62.4876876938323,112.063086357131
150,0.0204284351190363,NaN,NaN
