t,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.00180567200983696,88.680940533254,111.556230620131,22.1872971877444,63.0542005073123,62.1082133224569,29.4566956170557
7.5,NaN,44.3124026589849,94.4833611765268,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,31.4595003003206,NaN,61.733542685672
8.5,NaN,NaN,NaN,34.010126634219,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,67.0837485621473,NaN
10,0.11709612691912,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,52.3218362127038,98.5374010286734,74.1688167784836,96.9033162174124,NaN,95.0716148725842
20,8.97840650653882,NaN,NaN,NaN,NaN,185.674539648018,NaN
25,NaN,146.512596554668,120.728952039372,86.6165358691915,183.435409970523,NaN,229.406919758126
30,25.3897291407476,NaN,NaN,NaN,NaN,282.357329278602,NaN
35,NaN,59.9945623265971,67.6023325781881,44.2370075000508,422.322763036994,NaN,444.052477258873
45,4.09063810597591,75.5840208605328,83.7484191439056,NaN,337.60043644166,304.278397907504,327.447127494205
50,NaN,NaN,NaN,32.1653994819171,NaN,NaN,NaN
55,NaN,59.62942480808,49.5465241835356,NaN,NaN,NaN,NaN
60,0.328541694385738,NaN,NaN,NaN,82.8780367341786,137.700572024176,54.0416864786357
65,NaN,NaN,NaN,31.1469832359709,NaN,NaN,NaN
70,NaN,46.6229551602507,67.059026593052,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,32.3906549319464,47.5805692686437,38.8521427035597
80,0.00426585501138836,NaN,NaN,26.8401565552158,NaN,NaN,NaN
85,NaN,84.5505941016437,64.6606257990885,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,49.5027764500069,NaN,20.0859738544386
100,0.00790516618885588,59.5204048604707,71.3286343087443,26.0877593488968,68.122615513863,81.9926869704031,34.7077172592754
150,0.0337080982571032,111.523725521389,NaN,NaN,NaN,74.8111681996357,NaN
