t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.003513216289778,42.6429329930384,41.8847323149649
10,0.00231134989177532,NaN,55.639952454323
15,NaN,82.2803995400886,NaN
20,NaN,NaN,60.0549895988531
25,0.000347777007573266,51.4054471435898,NaN
30,NaN,NaN,32.9124250305366
35,26.7842683861528,NaN,NaN
40,NaN,8096.6578861905,4489.1029877968
50,386.712021414319,NaN,NaN
55,NaN,9576.43939999026,18257.427937601
65,214.123607146888,NaN,NaN
70,NaN,NaN,5630.80606275837
75,NaN,2106.82077774039,NaN
85,4.28571930857036,NaN,449.068774080759
100,0.318743048116402,85.0778861806883,55.654151737974
150,10.3175891608901,110.466949521692,121.115216459393
