t,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.00134958277863468,44.6587739939012,82.8405217761488,25.3355824086096,37.1677556142761,52.0197538209085,35.5228819640661
5.5,0.00823512790810302,NaN,NaN,NaN,NaN,68.7271434997741,NaN
6,NaN,NaN,NaN,NaN,64.0613075393658,NaN,NaN
8,NaN,68.1829678895626,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,375.63604005213,NaN,NaN,NaN
9,NaN,NaN,483.439527445745,NaN,NaN,NaN,NaN
10,3.87731791552477,NaN,NaN,NaN,NaN,184.170003133923,NaN
15,52.0827546999023,158.059993740271,NaN,NaN,305.670317316909,582.159020666524,370.789173800976
20,NaN,NaN,149.592414835439,371.207432434584,1088.01027824426,NaN,NaN
25,96.5484001053461,70.7939347041588,NaN,276.091367655994,1167.63440780272,1368.55616315124,NaN
30,74.0038963622184,NaN,192.236412029576,NaN,NaN,1145.23281287158,NaN
35,70.2840805512316,67.2854787027788,NaN,NaN,2343.39961285071,NaN,1456.53003560322
40,NaN,NaN,89.0440315170105,49.0815986085066,1960.83410559608,1086.46146499154,NaN
45,8.8766201768444,52.4251171382703,NaN,NaN,NaN,1058.42689205506,NaN
50,NaN,NaN,NaN,33.3387418925718,611.004919516793,NaN,NaN
55,1.80668477842131,57.7612439196163,70.6179126954562,NaN,NaN,194.535049844689,202.064022246673
60,NaN,NaN,NaN,NaN,149.568584069174,NaN,NaN
65,0.216131416024131,NaN,NaN,23.8234134137746,NaN,114.50029416368,NaN
70,NaN,33.5430168941438,88.4384289738601,NaN,NaN,NaN,22.6145008925498
75,0.0352294951915197,NaN,NaN,NaN,80.1214295317909,NaN,NaN
80,NaN,NaN,NaN,16.6767706135072,NaN,52.8517048853893,NaN
90,0.00167987905325519,45.176623912207,79.8955095492367,NaN,72.9673410738515,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,68.4972434951625,31.1460202928752
100,8.99001332578929e-05,64.2824165695163,NaN,22.1891429639204,61.658968924304,43.3849731366618,28.5510124545482
150,1.19454307758961e-05,87.9411911930788,NaN,21.5353326047896,51.8786250794554,55.8727620291287,61.0882355886827
200,NaN,NaN,NaN,NaN,NaN,NaN,44.2334481422002
250,NaN,NaN,NaN,NaN,NaN,NaN,22.3893069581995
300,NaN,NaN,NaN,NaN,NaN,NaN,17.6724956522145
350,NaN,NaN,NaN,NaN,NaN,NaN,20.1083036900476
