t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00230667592590608,39.3783116553061,67.4878751902073
5,0.00236636039505973,NaN,NaN
10,0.00143967624210183,NaN,NaN
15,0.00139202114198969,NaN,NaN
20,0.000519779073492372,50.0987840199554,60.855846109846
30,0.000125504918079965,NaN,NaN
35,6.8622139600775e-05,NaN,NaN
40,NaN,39.034608237282,NaN
45,1.89024804915731e-05,NaN,57.8139009878436
55,1.46279910820621e-06,NaN,NaN
65,1.46548473683748e-07,35.2613911210855,70.8802108377412
75,3.07560669019546e-08,NaN,NaN
85,NaN,32.6364784745847,NaN
90,6.27454297043159e-10,NaN,17.2088792265881
100,NaN,53.149179592195,46.829678328279
150,NaN,83.4550498023549,44.6442082803476
200,NaN,58.9637314175722,88.9092337998095
250,NaN,42.9584449217133,37.6425229002823
300,NaN,48.7686568788424,83.5585324077125
350,NaN,77.7861053864989,55.4642993081895
450,NaN,73.3290477524765,88.643714408689
