t,input_ruxolitinib,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
18,0,0.0017087931218769,80.859728226987,39.7746436942831
18,10,0.00357734974809073,38.4144655228347,40.1776729815709
18,50,0.001603143761577,76.8671089096756,60.122639187576
18,100,0.000987447406700508,71.1257710993713,65.6217038006716
18,200,0.00143649201591606,38.5700872403667,58.8895312131698
18,400,0.00202685414035038,62.3998323302905,55.9654276854756
18,500,0.000616490316799186,55.287213107115,64.8191757424427
18,500,0.00260878181869757,76.8818879615542,33.2992543686832
18,600,0.00133165870600355,65.152534977219,57.7475779614669
18,600,0.00260975904844162,67.5436445520099,46.689509330107
18,600,0.00158518857502638,93.6322758992183,94.7543836234402
18,600,0.00218744188875128,78.516083579503,42.5308347100637
18,800,0.00203460877011592,62.3740512669634,45.4688473979451
18,1000,0.0019475445976788,46.5747813084541,95.3382816523526
18,2000,0.00163504788409363,53.292649510113,78.5096616017488
18,5000,0.00174132482519683,41.4664233844471,35.7756525003726
18,5000,0.00274786381997988,48.6663356971767,76.5265270330736
