t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00366914241630755,43.3266413359213,53.9540380373327
5.5,NaN,41.7197068974364,83.9435929242223
7,0.0867550228894048,NaN,NaN
10,NaN,283.939793894747,256.656523188884
15,81.6886594118666,918.091999527702,418.51066799557
20,218.614590675973,NaN,NaN
25,NaN,3117.96042340839,6616.6473608893
30,122.534187088794,2335.48200361203,2380.34189806314
35,NaN,NaN,2701.25253198863
40,58.8699910884913,2330.6294788783,NaN
45,12.9644775240575,846.168171104768,930.191483307056
55,NaN,455.54663227534,632.096665619026
60,1.39494437610729,NaN,NaN
65,NaN,76.9494931604503,148.40198702925
70,0.166731186144415,NaN,NaN
75,NaN,NaN,84.8811660055264
80,NaN,80.4016404616425,NaN
85,0.0116987571469009,NaN,NaN
90,NaN,NaN,49.1824030765229
95,NaN,41.8742415242023,NaN
100,0.000267704024966185,94.5217990359266,45.5900475765503
150,1.37400347798008e-05,76.3856765630364,85.3906868844249
