t,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0050780377703115,70.9640108121802,74.6339567974917,32.4767984750369,34.271449730955,43.5025719206279,22.6705398109731
8,NaN,NaN,NaN,NaN,64.0656992771896,NaN,NaN
8.5,NaN,NaN,108.007084018616,156.086609367075,NaN,82.5472718526763,59.3399447725931
10,0.599567378875015,45.9482741632525,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,200.668418615633,380.99032492172,352.370182032516,NaN,132.566316626475
20,NaN,152.511225618064,NaN,NaN,NaN,333.755387877447,NaN
25,50.951934622159,NaN,192.955966562226,140.50227498331,725.402848081852,1047.36969886534,1326.22434789549
35,30.3445792945484,65.9048655796116,139.093126698517,66.0102312501851,1704.60959778036,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,1218.84460736695,1714.44168273314
45,NaN,47.6035123071101,NaN,NaN,NaN,NaN,NaN
50,5.20644642754896,NaN,58.1881057936447,44.6273076434568,338.658019081395,431.871637487015,279.823669279147
60,NaN,59.3274923879974,99.3120411641451,NaN,115.61307566375,NaN,NaN
65,0.190526918013725,NaN,NaN,27.508718033788,NaN,107.148738993111,116.383898778225
80,NaN,57.8364703094689,64.4491535942565,30.2400732280856,65.5449312708212,84.4789381380308,NaN
85,0.0040409865474529,NaN,NaN,NaN,NaN,NaN,30.6079135347668
100,0.00735426654604912,34.8138511554202,148.636038185244,39.981505438047,77.2436062865458,52.140646546841,53.4345250567794
150,0.0257395619839085,57.0078395033147,NaN,NaN,NaN,NaN,NaN
