t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.0018387105255848,25.4509698441587,51.0953255325665
3.5,NaN,NaN,71.4707474175406
5,0.00621720924605957,NaN,NaN
6,NaN,103.56305746612,NaN
7.5,NaN,NaN,239.555404626494
10,19.8577973591364,766.075058345107,484.009890140521
15,81.4855258299208,NaN,1351.4296839033
20,240.113283064731,3295.49612431091,2432.50480042831
25,NaN,4287.65267810384,5063.13943291569
30,204.882556470216,6440.54476348024,4803.41277484153
35,85.8048335106514,NaN,7383.9648990132
40,NaN,2820.59825589981,NaN
45,12.3568915720686,NaN,2126.90257911335
50,12.1386865204665,1120.85233755739,479.218476641784
60,NaN,283.039615326603,360.430717151762
65,0.6385247540712,NaN,NaN
75,0.0873428608495804,127.558419049346,80.4890573689646
85,NaN,NaN,42.6830650424865
90,0.00249817896220331,58.6678264834377,NaN
100,0.00037594245825364,64.6134253981303,61.8242445615598
150,9.79414217214201e-06,65.4003503330116,NaN
