t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00114436803159234,43.4831494912032,54.8107596967598
5,0.00179348755279197,NaN,NaN
9.5,0.00135383677182117,NaN,NaN
15,0.00130391789013151,NaN,NaN
20,0.000803709594107215,50.54594660138,55.3507326893257
25,0.000380223925071105,NaN,NaN
35,8.60234311742612e-05,NaN,NaN
40,2.8446638181569e-05,35.6906944264875,49.4418995601094
50,4.56403506297373e-06,NaN,NaN
60,6.02635634367108e-07,42.4677694775266,83.9197222271468
75,1.55327940581644e-08,NaN,NaN
80,NaN,54.021651217244,47.1299558209921
100,NaN,43.8184540120627,33.786268205061
150,NaN,42.7490357861712,90.3572457757608
200,NaN,65.2634216127025,95.6912981398502
250,NaN,65.2748845363164,64.7239520679981
300,NaN,35.0078603084199,59.0466774792503
350,NaN,48.1917671104299,55.5162040648723
450,NaN,81.1476304767596,42.5863061941189
