t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00142009090860491,55.6035493491187,38.1849499413899
7,NaN,NaN,66.6105441081067
8.5,NaN,42.7214171781564,NaN
9.5,0.0186840015076104,NaN,NaN
15,NaN,NaN,133.429234504788
20,8.55311633444219,147.521501919474,NaN
25,NaN,NaN,148.969643482213
30,8.23079754207206,199.160518368256,149.752666478659
40,5.46090418301697,210.941982803655,315.761857671183
50,NaN,90.0859285269263,122.772818870233
55,0.59236292072716,NaN,NaN
65,NaN,89.913421380118,73.2313189191458
75,0.00970199718177141,NaN,NaN
80,NaN,NaN,45.3903454367657
85,NaN,42.1781405899318,NaN
95,0.00113372810206284,NaN,47.6017654287462
100,0.00501092714128671,34.5672334659862,68.4988023975491
150,NaN,55.109564594548,NaN
