t,input_il6,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
31,0.1,0.000879942873253855,51.0875923820599,53.4114320911711
31,0.1,0.000726433227693516,98.2170813581679,57.7179564339796
31,1,0.00365502900579173,49.8900939895089,54.4228428458864
31,1,0.00447147028489814,96.6405606503175,100.080221611
31,5,0.976489508531876,43.9134881022435,44.3686896290849
31,5,0.892864496092523,42.3698434450882,80.1266435316537
31,10,32.1729299216576,1501.71700882683,1307.26794610767
31,10,52.5096564321027,1432.64317791309,1607.93989696462
31,50,0.329620146825992,78.0973508259776,59.7268275682337
31,50,0.23948814915182,72.6334305453661,54.4316186311676
31,100,15.9058663415107,334.185613681335,498.725518266094
31,100,19.7190545907315,444.134857711511,544.576729097744
31,500,153.828541708021,4463.8494320317,6455.39596371948
31,500,188.110933297211,5425.72000135426,7431.37307475237
