t,JAK1_gp130_Obs,nSOCS3RNA1_Obs,SOCS3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.348109358586744,0.00329875936396603,0.0360424222266466,11.491416568565,74.0582314025957
7,NaN,0.00285658371195924,NaN,NaN,NaN
8,0.569171070420107,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.067085360032098,NaN,71.1568627591455
10,NaN,NaN,NaN,28.4043569755942,NaN
15,0.411569130014395,0.00206133168123882,NaN,NaN,58.2754637672092
20,NaN,0.0023119024147246,0.028962274472556,17.4791011498039,NaN
25,0.405371646760956,NaN,0.0359130676197916,NaN,78.3904011493507
30,NaN,0.00166169547586595,NaN,48.290968260213,NaN
35,0.391075699170207,NaN,NaN,NaN,NaN
40,NaN,0.00127093367162586,0.0330983502828372,NaN,77.3083238009182
45,0.391504239212525,NaN,NaN,32.9539674242251,NaN
50,NaN,0.00137913131836087,0.0490477167582774,NaN,48.7502701127856
55,0.528309185291977,NaN,NaN,NaN,NaN
60,NaN,0.00276809809777535,NaN,23.0193496280086,NaN
65,NaN,NaN,0.0271975520950532,NaN,60.9381668271301
70,0.238113921476276,0.00200264759866889,NaN,NaN,NaN
75,NaN,NaN,NaN,36.2943477566056,NaN
80,NaN,NaN,0.0230635359471586,NaN,71.5882629577004
85,0.46465878868673,0.00542673781012749,NaN,NaN,NaN
95,NaN,NaN,0.0519378607881173,37.0379771052477,NaN
100,0.383167144202656,0.00127821816747551,0.0566927739311523,26.3786320746042,55.0971018720449
150,0.26785221369232,NaN,0.0397160357054548,16.9453416061434,102.062231190312
