t,input_il6,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
30,0,0.00170271194618484,56.3323158827872,130.980155014621
30,0,0.00236857031300761,81.6129967463535,44.9086992534074
30,5,8.56505010519579,316.228673345016,154.166643888409
30,5,8.72828159555916,94.1898573677505,164.147216710844
30,10,14.3713308628016,852.360580332039,419.40648333905
30,10,19.3417424558258,570.39733596318,472.528348880796
30,20,40.1859413831256,1694.45779535865,1582.26655319784
30,20,78.9030658277321,699.932109775689,910.50964613206
30,40,82.2418821880727,4855.24815814817,3588.49269560709
30,40,115.450416584114,3829.65161848232,4290.93537696646
30,80,196.340665704192,4654.62778389339,10346.8861074248
30,80,284.832702898726,11776.8998020384,2188.98643583849
30,120,254.077443253489,7556.18334593507,8866.35703941921
30,120,263.386714195952,6731.31151590032,4692.41391683944
