t,input_il6,JAK1_gp130_Obs,SOCS3_Obs,Compound_4_Obs
470,0.1,0.538532075452741,0.00894653852332042,41.8574319839561
470,0.1,0.669853945382811,0.00935629210055359,33.8236843496437
470,0.5,0.324467153168014,0.0633890718508622,24.8165751686352
470,0.5,0.401467466112678,0.0863841986461247,35.6154468302561
470,1,0.23173939754998,0.167667664851609,29.3974409055348
470,1,0.302994042123755,0.103298742759926,40.6305068698613
470,2.5,0.159054119811641,0.429526730055072,22.483546229108
470,2.5,0.160626543517521,0.476447337654186,26.4173195707893
470,5,0.119192919276533,0.279659203325952,32.5750162244692
470,5,0.14372226006641,0.541563912612575,23.2963126014761
470,10,0.0423437640177488,0.787102807431393,29.0948519652853
470,10,0.0557016261545323,1.03620591452566,23.7362829547989
470,25,0.0288837999272294,0.529797212202087,33.8228801212644
470,25,0.0295961235268179,0.784754176509154,37.0769606207562
470,50,0.0314100665861582,0.232969846162056,25.9679829147136
470,50,0.0460804529355895,0.286088768876579,20.6737883490132
470,100,0.0292028607484485,0.336178231865812,20.0103652477419
470,100,0.0504195411960364,0.283516706264218,33.8582467927791
470,500,0.0100596848109186,0.348559723730909,29.152619384039
470,500,0.0211447351190669,0.22755683190482,44.1292719919394
