t,JAK1_gp130_Obs,SOCS3_Obs,Compound_4_Obs
0,0.416667342622537,1.20163309774218,33.1541528329866
7,NaN,NaN,54.141919360383
9,NaN,1.37298230277655,NaN
10,0.335743371069323,NaN,NaN
15,NaN,NaN,113.551999876929
20,0.000364388593913812,298.521477577922,NaN
25,NaN,604.63841165013,106.304423118723
30,NaN,NaN,64.4417892380907
35,0.000100606512570099,NaN,NaN
40,NaN,709.436389169188,25.5420364135178
50,0.000284995403327914,358.676653337181,NaN
55,NaN,NaN,25.9358253087088
60,0.000843931645205063,NaN,NaN
65,NaN,35.4397884083548,45.3617295488291
80,0.0129850299661148,4.56011597283648,30.5385694817819
95,NaN,0.910493167134288,NaN
100,0.0490011141221438,1.08438542771505,54.9438210311274
150,0.00775408903042791,10.0029291750575,NaN
