t,input_ruxolitinib,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
13,0,18.6155922483501,731.281600045458,404.327034585401
13,0,17.6914136855391,271.721390689684,351.240616168541
13,0,19.1013021994739,830.594067195453,235.925288149729
13,0,44.4776232489888,438.859076237189,499.453759792255
13,10,20.6879070196944,751.076282063916,303.586861062731
13,10,16.8740724169957,433.148337638557,325.091274478526
13,10,20.6471999806642,225.039098749969,319.586282680726
13,10,16.2634845159703,382.536393399038,355.907968986147
13,50,4.50583243647906,370.932279749092,116.690613175132
13,100,0.00997005767746128,58.7163158132346,70.7605008280206
13,200,2.27136450715332,120.867963666148,146.459203774549
13,400,0.0026422066550636,131.445450451403,28.7953024213677
13,500,0.431026762734073,74.8651370592114,93.2206528123769
13,500,13.8830694839072,548.864573950734,216.411909805624
13,500,0.177082742123366,30.7074763391936,85.6128679405926
13,500,0.209698225584317,76.4468323570107,86.2256146587311
13,600,0.198979577359056,96.5528759043727,84.137346737789
13,800,0.193930381594967,51.4966842487251,90.8642548635072
13,1000,0.00251666305480072,38.8611624280642,58.9227646267103
13,2000,0.127615739268574,62.2262968028539,55.9437476805208
13,5000,0.0599904264198935,48.4762732669497,57.103276109941
