t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00103974369682966,74.914035700367,40.6019825322371
4.5,0.00231904223710344,NaN,46.0043220015039
5,NaN,31.7218809337948,NaN
9,1.58029075774642,NaN,175.352275191341
10,NaN,373.163724096173,NaN
15,98.21228260679,771.484846598316,517.264179140908
20,90.2079860896927,1615.62582181086,1387.62000306475
25,97.8662319425892,NaN,3958.86499606277
30,83.5416703165115,4313.67797666685,2817.93762355175
35,65.429882905278,2518.85942705707,2105.57997829368
45,23.1010296825869,1323.69041082921,732.618263158674
50,NaN,371.44155738106,573.366617545364
55,2.98556859141959,NaN,NaN
60,NaN,147.459577539608,288.221362870195
65,0.352663645046944,NaN,NaN
70,NaN,NaN,50.0343097879415
75,NaN,59.025074320618,NaN
80,0.0116790492797192,NaN,NaN
85,NaN,NaN,63.0528725232865
90,NaN,53.3736526893667,NaN
95,0.00122780637178895,NaN,NaN
100,0.000181933310593975,56.7953592995344,48.2576178974283
150,NaN,51.3950748346471,43.0371075857472
