t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00224436073770049,105.91602164905,73.5084772400605
5.5,0.0336050788118518,45.9025445626745,NaN
6,NaN,NaN,61.0118604128644
10,18.106153257783,483.30025433533,760.457968871468
15,109.413859679924,1143.35783569888,NaN
20,NaN,3736.97720062828,3208.55558499487
25,353.622248591726,NaN,5668.05317319927
30,171.594627299813,5582.93124000824,5541.14620062693
35,124.715028070828,5107.23420702234,NaN
40,NaN,NaN,4289.41134434718
45,23.6371226735648,3565.62588347551,NaN
50,NaN,NaN,1108.45713635758
55,4.04456359960031,671.98582578252,NaN
60,NaN,NaN,211.576398611085
65,1.25388373315214,121.807510340111,NaN
70,NaN,NaN,81.662521880175
75,NaN,78.7080352371833,NaN
80,0.0244022930083988,NaN,NaN
85,NaN,NaN,102.123982130094
90,NaN,37.5643785551093,NaN
95,0.000637699609880303,NaN,NaN
100,0.00026759317249255,41.5407778826606,56.0181747887361
150,9.39842158404789e-06,45.2050398145906,60.8923556632342
