t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00269302706945794,23.9021744625203,33.5916953467643
5,NaN,52.0910805282785,NaN
5.5,0.0991798418170569,NaN,NaN
7,NaN,NaN,163.992947265412
10,10.413345142122,583.793422432337,NaN
15,103.074637539374,1724.94960335382,1324.77236705529
20,NaN,4040.27931730786,4117.4212523478
25,329.027297752343,3888.67755729527,NaN
30,203.262343005884,NaN,7695.51637434165
35,164.696072507726,5410.78213886672,5142.58616740051
40,NaN,5130.81756865123,NaN
45,26.9488035989194,NaN,2714.83864910185
50,NaN,2296.16205419817,NaN
55,5.70893464251503,NaN,386.303422957638
60,NaN,242.320249217024,NaN
65,0.875063291431152,NaN,NaN
70,NaN,NaN,107.088286933059
75,0.0700990603612461,83.3318997560793,NaN
85,NaN,59.07339473023,73.2122648402476
90,0.00427972028073922,NaN,NaN
100,0.00029998744538043,64.0421222110575,33.5980000398715
150,9.20269825232571e-06,57.2205294097044,88.6700376842949
200,NaN,NaN,79.1552268460386
