t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00109336942417161,40.0416952814225,92.0596791211731
4.5,0.00333253693451263,NaN,NaN
7,NaN,113.278327418221,NaN
7.5,NaN,NaN,93.766060536546
9.5,1.42541095651037,NaN,NaN
15,30.3921195242455,532.473097805552,670.991690886091
20,109.297599141314,1621.25229543743,NaN
25,268.776902736215,NaN,1809.52059075641
30,84.9670210331966,1672.17102708514,1926.68335152264
35,NaN,3280.45713959235,NaN
40,19.0362197181571,NaN,1839.40457408394
45,10.8429770378091,2061.28604160315,NaN
50,NaN,NaN,521.200715849889
55,1.87502677395991,NaN,NaN
60,NaN,112.59181798263,124.783086333156
65,0.471963459019542,NaN,NaN
70,NaN,46.056029211264,NaN
75,NaN,NaN,50.5269315618447
80,0.0102661917918208,NaN,NaN
85,NaN,31.7387605307449,NaN
90,NaN,NaN,50.2073420075553
95,0.000639418986095359,NaN,NaN
100,0.00021390266013436,50.3660025111545,66.6216132622712
150,NaN,67.0392472548002,43.8701543088123
200,NaN,NaN,68.7760144442464
