t,input_stattic,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0,0.00142771541164173,95.8948463929235,72.548825893878
0,0,0.00261421232654074,48.7455965947677,47.6630553946044
0,1,0.00107187979957501,54.2776316445423,45.0875928387124
0,1,0.00249842312784086,58.9607487600031,67.920091681757
0,5,0.00170948964924912,39.3865490322281,64.9733718896596
0,5,0.00298916485269728,78.145620766188,62.8501021002974
0,10,0.0023167531163474,59.2235260192021,60.4454272933966
0,10,0.00332527901808356,51.1043911130762,53.2428107864232
0,20,0.0018842098361532,58.3538534359296,85.957712983267
0,20,0.00206350024411756,59.1342158039472,50.3743130020114
0,50,0.0018438298666133,78.115574109425,83.3147960902434
0,50,0.002123123683648,38.5996504771782,46.8703235931502
