t,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0025367419669013,74.0541710651608,82.0977784803768,22.9717410829469,51.8848409604859,60.1044196175272,19.0748210995071
4.5,NaN,NaN,NaN,NaN,NaN,33.5771083084132,NaN
5.5,0.0119368498767991,NaN,NaN,NaN,56.7666822650852,NaN,NaN
9,NaN,87.0937009683104,NaN,334.081392410292,NaN,NaN,NaN
9.5,NaN,NaN,404.016366195675,NaN,NaN,167.91880114029,100.650843346481
10,2.43338605732975,NaN,NaN,NaN,316.57220924813,NaN,NaN
15,24.0401564808359,NaN,NaN,NaN,NaN,788.408015505527,NaN
20,262.880589458322,297.562388316181,349.407779616651,216.438976028752,1820.22491205888,1124.15869687121,1479.04138703267
25,NaN,NaN,NaN,NaN,2469.9404053322,2609.14135658646,NaN
30,106.393585248043,68.3817511713063,198.414953165118,174.657581949875,3020.66314280629,3349.77371396859,4427.92276161248
35,49.8872592730326,NaN,NaN,NaN,NaN,4253.06445916223,NaN
40,NaN,72.1297258613914,NaN,122.322612298829,1791.58684124961,NaN,2236.8281307718
45,37.9321399336696,NaN,154.707242103823,NaN,NaN,1211.91107794127,NaN
50,7.42494666474832,75.3658188826121,NaN,56.3785092397039,834.674435707124,NaN,679.107726793821
55,NaN,NaN,NaN,NaN,NaN,209.165881062402,NaN
60,1.41460996146185,NaN,69.910921705103,NaN,254.18162272421,168.956321909673,NaN
65,NaN,44.105362762552,NaN,31.7383539622757,NaN,NaN,75.1577126805289
70,NaN,NaN,NaN,NaN,69.0603661815461,NaN,NaN
75,0.0406560807245978,NaN,50.9052795483368,NaN,NaN,83.6798164864614,40.343976300148
80,NaN,76.0808637706915,NaN,NaN,NaN,NaN,NaN
85,0.00617344892732457,NaN,NaN,19.4144928319335,86.9775116215043,67.3614615666304,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,24.3521208631138
95,NaN,NaN,102.611165723152,NaN,NaN,NaN,NaN
100,0.000270705366078498,51.1491366499793,NaN,33.3435858080471,65.1377546771855,68.3446584697124,14.3720462806889
150,1.14291564090006e-05,52.0249165006837,NaN,30.4963826794358,31.659980053422,36.4728520110182,19.274018100858
200,NaN,NaN,NaN,NaN,NaN,NaN,47.4762349223749
