t,input_il6,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
26,0.1,0.00547964092445924,47.8889363900347,57.4341879325528
26,0.1,0.00456647798484765,43.0088112370541,91.9169634825192
26,0.1,0.00398842039526704,33.7801834283634,104.517702002409
26,0.1,0.00306711296217559,52.2211324828427,47.7888002374458
26,1,0.191629554523598,65.8734557370072,52.4338938831607
26,1,0.115938943454481,47.1148647355658,52.1898169502226
26,1,0.222512071768337,46.7953377843646,57.1854474597923
26,1,0.136537008173024,70.5611674200879,43.0458640512746
26,5,41.4239441617328,345.986975735213,528.038826796103
26,5,20.9367094138223,385.853018513923,434.563900010002
26,5,24.57329061162,650.373832143258,439.207382089329
26,5,20.1023757482048,170.068541766919,446.761109202347
26,10,279.014840644506,6447.61744752654,6753.17750474277
26,10,327.01557158606,5078.95221518415,6803.57531837501
26,10,417.669103561808,6432.69118371949,9503.04552480668
26,10,227.514211942208,5727.47947051647,8497.76058405121
26,50,14.4695275451308,169.717765727786,236.906838653871
26,50,6.11128584028407,166.069495110791,201.620370865556
26,50,6.02048596631935,134.351264690532,132.094559062847
26,50,9.11263973813033,94.7464348691854,200.392110946823
26,100,268.347743191025,2728.27272176727,3793.2265008299
26,100,158.988768084463,4814.98314595776,2970.38950532988
26,100,145.665765607447,3812.95258179384,2668.48245555003
26,100,222.937105045822,2996.42590345256,2582.64044386739
26,500,376.787297036899,16967.4921516586,12340.5582241069
26,500,890.870312193773,10691.791845545,22553.2343654113
26,500,606.916951911553,22161.6244940158,9886.80866827046
26,500,623.887705229604,10144.5998841855,10140.2239467001
