t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00210483027072663,95.4484738616468,50.14614053956
3,0.00101330275001915,51.935041688126,57.7714716780722
5.5,NaN,48.9458555618897,NaN
6,NaN,NaN,29.3908728952315
6.5,0.0112571887207087,NaN,NaN
8.5,NaN,94.2159025493955,NaN
9.5,NaN,NaN,89.2402513672166
10,0.659483909608128,69.4456684284013,NaN
15,13.353276344688,334.800721296116,358.345248744176
20,36.9843138196164,432.254954747945,701.837093529645
25,121.46031042131,1427.02258688257,1181.33065616457
30,79.1098326775968,1132.18154706748,943.050055375967
35,NaN,1047.06269465993,1120.83369719611
40,15.2705596361604,1156.77287280726,NaN
45,6.73698913800531,NaN,392.564709223792
50,NaN,357.86915501066,NaN
55,2.6020452335276,391.087912781941,203.240099523473
65,0.212133200748731,NaN,120.384555224429
