t,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.00112631115938489,55.5159103937072,85.7973706637606,20.1736653465276,85.2395228444311,41.2015760630252,56.1130019823083
7,0.808778674147035,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,717.428639288463,NaN,NaN,102.182070250563
8,NaN,NaN,NaN,NaN,418.188393854691,151.638104426919,NaN
9,NaN,442.318930754126,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,491.802998128635,NaN,NaN,NaN,NaN
15,170.734445352395,NaN,NaN,861.287037600559,1295.6239279521,1050.93845120346,1611.30414269549
20,NaN,449.331353724337,272.326568081169,NaN,NaN,NaN,NaN
25,261.912855409579,NaN,NaN,474.966735386958,4914.46910626952,6716.31977672752,5794.00329189826
30,343.782474212821,65.9550837245818,226.022244472301,240.555291897791,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,6945.02096415791,8909.4977425162,5435.13194009196
40,57.4827708418932,98.0499589803359,352.590150974192,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,76.3744610336165,2145.69528628515,3205.14829178554,2227.74580662253
50,NaN,43.4210321641703,NaN,NaN,NaN,NaN,NaN
55,5.67567199759998,NaN,95.3220217525802,57.3388515766253,429.906934456621,482.902978897499,554.927178494005
65,0.854511849591607,81.4785605113388,60.4446369652404,NaN,NaN,NaN,121.237866209104
70,NaN,NaN,NaN,23.8872873734919,110.867430591688,82.9600650904883,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,37.1011239953215
85,0.0138666293550593,76.5921505938121,77.9053456622442,40.159534748083,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,33.5215675507799,52.2989871792565,NaN
100,0.0432434198282895,38.791916966256,89.3927701877783,33.5094779830548,74.9133803832294,64.254753168682,40.0793267319147
150,NaN,47.9124189828403,91.0735439591811,NaN,NaN,59.849827028986,40.6813959790318
