t,input_il6,JAK1_gp130_Obs,SOCS3_Obs,Compound_4_Obs
44,0.1,0.237598241008253,1.30523432287535,22.6394927973624
44,0.1,0.33092696185847,2.82862211384068,38.2156215343602
44,0.5,0.455647109395085,0.816019391585695,22.7166116600054
44,0.5,0.662511728986276,1.43010993827756,13.2600409265327
44,1,0.397681579723093,2.12998457058413,44.5175243632688
44,1,0.466802647838937,0.865788901219142,29.4439126804318
44,2.5,0.273230645649482,2.01578610698295,18.7215169899099
44,2.5,0.319220189227977,1.82327478729245,29.8513274942085
44,5,0.0283479554497817,7.51375754971735,23.4886851541304
44,5,0.0373751317395861,5.3106611425895,32.3551747407817
44,10,0.00322867321569745,42.1260348569977,30.7942765489427
44,10,0.00404249274693223,12.7834752548149,21.5794598322408
44,25,0.00037300558785098,99.818183841464,29.6021876692972
44,25,0.000447656837548407,217.377514890791,37.8757620408213
44,50,0.000268670333067302,367.748854786187,25.1556223540058
44,50,0.000294560384829759,299.807189340277,21.6708104356877
44,100,0.000146442824899805,461.961377361797,54.0394302159655
44,100,0.000186688719775236,1011.20524757111,21.5400062639623
44,500,3.24463298261968e-05,1899.23883215747,36.8884150199055
44,500,3.7840261707997e-05,2664.67955155227,33.5092978213511
